,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
363442,433,Molson Coors Canada,1254781571,3.0,3.0,3.5,tone77,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363443,433,Molson Coors Canada,1309464861,3.5,4.0,3.5,rudzud,American Malt Liquor,3.5,3.0,Molson XXX,7.3,3829
363444,433,Molson Coors Canada,1309233390,2.0,3.0,2.0,deadbeerriver,American Malt Liquor,1.0,2.0,Molson XXX,7.3,3829
363445,433,Molson Coors Canada,1308080074,4.0,4.0,4.0,neliam24,American Malt Liquor,4.0,4.0,Molson XXX,7.3,3829
363446,433,Molson Coors Canada,1302562315,2.5,2.5,2.5,Wasatch,American Malt Liquor,2.0,2.5,Molson XXX,7.3,3829
363447,433,Molson Coors Canada,1301452762,3.0,3.5,3.5,talaysen,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363448,433,Molson Coors Canada,1300649486,1.5,1.5,2.0,Knapp85,American Malt Liquor,2.0,1.0,Molson XXX,7.3,3829
363449,433,Molson Coors Canada,1300296029,2.5,2.5,3.5,GRPunk,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363450,433,Molson Coors Canada,1300256305,3.0,2.5,2.5,Looneybiz,American Malt Liquor,1.0,2.5,Molson XXX,7.3,3829
363451,433,Molson Coors Canada,1298859762,2.0,1.5,4.5,foogerd,American Malt Liquor,3.0,2.0,Molson XXX,7.3,3829
363452,433,Molson Coors Canada,1298074350,2.0,1.0,4.0,BeerNinja007,American Malt Liquor,2.5,1.5,Molson XXX,7.3,3829
363453,433,Molson Coors Canada,1297211242,3.5,2.0,2.5,Groucho75,American Malt Liquor,3.0,3.5,Molson XXX,7.3,3829
363454,433,Molson Coors Canada,1296012239,3.5,3.5,4.0,Lauthaha,American Malt Liquor,4.0,4.0,Molson XXX,7.3,3829
363455,433,Molson Coors Canada,1295661407,2.0,2.5,2.0,secondtooth,American Malt Liquor,2.5,2.5,Molson XXX,7.3,3829
363456,433,Molson Coors Canada,1291781395,2.0,2.0,3.5,kagent777,American Malt Liquor,3.5,2.0,Molson XXX,7.3,3829
363457,433,Molson Coors Canada,1289521116,1.5,2.5,2.0,pezfiend,American Malt Liquor,2.5,1.5,Molson XXX,7.3,3829
363458,433,Molson Coors Canada,1284704179,2.5,3.0,3.0,jzeilinger,American Malt Liquor,3.0,2.5,Molson XXX,7.3,3829
363459,433,Molson Coors Canada,1284603952,4.0,2.5,2.5,daliandragon,American Malt Liquor,3.5,3.0,Molson XXX,7.3,3829
363460,433,Molson Coors Canada,1282785947,2.0,2.0,2.0,mikesgroove,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363461,433,Molson Coors Canada,1279249392,3.5,3.0,3.5,ddgo,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363462,433,Molson Coors Canada,1276822807,1.5,2.0,3.0,OtherShoe2,American Malt Liquor,4.0,2.0,Molson XXX,7.3,3829
363463,433,Molson Coors Canada,1275711773,4.5,3.5,3.0,Babaauto,American Malt Liquor,5.0,4.5,Molson XXX,7.3,3829
363464,433,Molson Coors Canada,1275192023,2.0,2.0,3.0,Lexluthor33,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363465,433,Molson Coors Canada,1274367645,1.0,1.5,3.5,Spica66,American Malt Liquor,3.0,2.0,Molson XXX,7.3,3829
363466,433,Molson Coors Canada,1272247135,2.0,2.0,3.0,wahhmaster,American Malt Liquor,2.5,1.5,Molson XXX,7.3,3829
363467,433,Molson Coors Canada,1270435378,2.5,3.0,3.5,ExtraStout,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363468,433,Molson Coors Canada,1269059902,3.0,2.5,3.0,junjun,American Malt Liquor,2.5,2.5,Molson XXX,7.3,3829
363469,433,Molson Coors Canada,1267217576,2.5,2.0,1.5,cld253,American Malt Liquor,2.5,2.0,Molson XXX,7.3,3829
363470,433,Molson Coors Canada,1265330384,1.0,1.5,2.0,BigMike,American Malt Liquor,1.5,1.0,Molson XXX,7.3,3829
363471,433,Molson Coors Canada,1263013860,2.5,3.5,3.5,dpodratsky3,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363472,433,Molson Coors Canada,1262812041,1.5,1.5,2.0,MadElf25,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363473,433,Molson Coors Canada,1262367263,3.0,3.0,4.0,Minkybut,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363474,433,Molson Coors Canada,1253162956,4.0,2.0,3.5,psujesus,American Malt Liquor,2.5,2.0,Molson XXX,7.3,3829
363475,433,Molson Coors Canada,1251665997,1.0,1.5,3.5,dyan,American Malt Liquor,1.0,1.5,Molson XXX,7.3,3829
363476,433,Molson Coors Canada,1251427829,3.0,2.5,3.0,theirishdago,American Malt Liquor,3.0,2.5,Molson XXX,7.3,3829
363477,433,Molson Coors Canada,1244400289,4.0,3.5,4.0,mycroft69,American Malt Liquor,3.5,3.5,Molson XXX,7.3,3829
363478,433,Molson Coors Canada,1244328640,2.5,3.0,2.5,puboflyons,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363479,433,Molson Coors Canada,1243737247,2.5,2.0,2.0,GeezLynn,American Malt Liquor,2.0,2.5,Molson XXX,7.3,3829
363480,433,Molson Coors Canada,1242322619,3.0,3.5,3.5,njthebestofme,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363481,433,Molson Coors Canada,1242161476,1.5,1.5,3.0,berserker256,American Malt Liquor,3.0,2.0,Molson XXX,7.3,3829
363482,433,Molson Coors Canada,1239124599,2.0,2.0,2.0,Duhast500,American Malt Liquor,1.5,2.0,Molson XXX,7.3,3829
363483,433,Molson Coors Canada,1239093390,2.5,2.0,3.0,Stunner97,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363484,433,Molson Coors Canada,1238264909,3.0,3.0,3.0,jrodvog148,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363485,433,Molson Coors Canada,1236905624,1.0,3.0,3.0,cottonkoozie,American Malt Liquor,1.5,1.0,Molson XXX,7.3,3829
363486,433,Molson Coors Canada,1234213400,3.0,3.0,3.0,blakeman12,American Malt Liquor,3.5,3.5,Molson XXX,7.3,3829
363487,433,Molson Coors Canada,1233266921,1.5,3.0,3.0,Nascartailgatefa,American Malt Liquor,2.5,2.5,Molson XXX,7.3,3829
363488,433,Molson Coors Canada,1232505765,3.0,2.5,2.5,kimcgolf,American Malt Liquor,3.5,2.5,Molson XXX,7.3,3829
363489,433,Molson Coors Canada,1232492714,2.5,2.5,3.5,tempest,American Malt Liquor,2.0,2.5,Molson XXX,7.3,3829
363490,433,Molson Coors Canada,1232378114,1.5,2.0,2.0,Homer7530,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363491,433,Molson Coors Canada,1232207516,3.5,3.0,4.0,steeler,American Malt Liquor,3.0,3.5,Molson XXX,7.3,3829
363492,433,Molson Coors Canada,1230365267,2.5,2.0,3.0,PatrickJR,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363493,433,Molson Coors Canada,1230079541,2.5,2.0,4.0,bluejacket74,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363494,433,Molson Coors Canada,1227840566,2.5,1.5,2.5,Cyberkedi,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363495,433,Molson Coors Canada,1222485030,1.5,2.0,2.0,hero27,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363496,433,Molson Coors Canada,1222188215,3.0,2.5,3.0,paulthebeerguru,American Malt Liquor,3.0,2.5,Molson XXX,7.3,3829
363497,433,Molson Coors Canada,1222050449,2.5,2.5,4.0,DrJay,American Malt Liquor,2.5,2.0,Molson XXX,7.3,3829
363498,433,Molson Coors Canada,1221272820,3.0,3.0,3.5,BeerSox,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363499,433,Molson Coors Canada,1221249299,2.0,2.0,2.5,clayrock81,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363500,433,Molson Coors Canada,1220018277,3.0,1.5,4.5,thekevlarkid,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363501,433,Molson Coors Canada,1219286597,1.5,2.0,2.0,mashedpotatoes,American Malt Liquor,2.0,2.0,Molson XXX,7.3,3829
363502,433,Molson Coors Canada,1218943061,3.0,3.0,3.0,treyrab,American Malt Liquor,3.0,2.5,Molson XXX,7.3,3829
363503,433,Molson Coors Canada,1218551805,2.0,2.0,2.0,MTNboy,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363504,433,Molson Coors Canada,1217880455,2.5,1.5,2.0,NoahSYGG,American Malt Liquor,1.5,1.5,Molson XXX,7.3,3829
363506,433,Molson Coors Canada,1217874699,2.5,2.0,2.0,orcasteve,American Malt Liquor,3.0,3.0,Molson XXX,7.3,3829
363507,433,Molson Coors Canada,1217357961,2.0,2.0,2.5,kinger,American Malt Liquor,2.0,2.5,Molson XXX,7.3,3829
363508,433,Molson Coors Canada,1215908469,3.0,3.0,4.0,far333,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363509,433,Molson Coors Canada,1214431338,3.5,3.0,4.0,Mitchster,American Malt Liquor,4.0,3.5,Molson XXX,7.3,3829
363510,433,Molson Coors Canada,1213129895,2.0,2.0,3.0,ChainGangGuy,American Malt Liquor,2.5,2.0,Molson XXX,7.3,3829
363511,433,Molson Coors Canada,1211482487,2.0,2.5,4.0,rtratzlaff,American Malt Liquor,3.0,1.5,Molson XXX,7.3,3829
363512,433,Molson Coors Canada,1211378719,3.0,2.5,2.5,drxandy,American Malt Liquor,2.5,3.0,Molson XXX,7.3,3829
363513,433,Molson Coors Canada,1211076121,1.0,1.0,2.0,rye726,American Malt Liquor,1.5,1.5,Molson XXX,7.3,3829
363514,433,Molson Coors Canada,1209134809,3.5,2.0,2.5,BBM,American Malt Liquor,3.0,2.0,Molson XXX,7.3,3829
363515,433,Molson Coors Canada,1208816963,1.5,2.5,3.0,thartman,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363516,433,Molson Coors Canada,1207398169,2.0,2.0,2.5,giblet,American Malt Liquor,1.5,1.5,Molson XXX,7.3,3829
363517,433,Molson Coors Canada,1206905438,2.0,3.0,3.0,LumpyGuitar,American Malt Liquor,2.5,2.5,Molson XXX,7.3,3829
363518,433,Molson Coors Canada,1206767872,1.0,2.0,4.0,woodychandler,American Malt Liquor,2.0,1.0,Molson XXX,7.3,3829
363519,433,Molson Coors Canada,1206406237,1.5,2.0,3.0,erosier,American Malt Liquor,2.0,1.5,Molson XXX,7.3,3829
363520,433,Molson Coors Canada,1204864368,2.5,2.5,4.0,rajendra82,American Malt Liquor,2.5,2.5,Molson XXX,7.3,3829
364402,433,Molson Coors Canada,1063153390,2.5,3.0,3.0,pootz,American Malt Liquor,3.0,3.0,O'Keefe Extra Old Stock,5.65,10828
432316,1781,Perla Browary Lubelskie S.A.,1301861968,2.5,3.0,4.0,woodychandler,American Malt Liquor,3.0,3.0,Perla Malt Liquor,7.6,54762
432317,1781,Perla Browary Lubelskie S.A.,1300548034,3.5,4.0,3.5,tone77,American Malt Liquor,3.0,3.5,Perla Malt Liquor,7.6,54762
432318,1781,Perla Browary Lubelskie S.A.,1299900987,2.0,2.0,3.5,Sheva,American Malt Liquor,2.0,2.0,Perla Malt Liquor,7.6,54762
432319,1781,Perla Browary Lubelskie S.A.,1260841299,2.0,2.5,3.0,emerge077,American Malt Liquor,2.5,2.5,Perla Malt Liquor,7.6,54762
432639,410,Pittsburgh Brewing Co.,1235264971,3.0,3.0,3.0,tmoneyba,American Malt Liquor,2.5,3.0,The Wild Cat Malt Liquor,,34269
433025,410,Pittsburgh Brewing Co.,1080499482,3.5,3.0,3.0,NeroFiddled,American Malt Liquor,3.5,3.5,Night Flight,,8592
433026,410,Pittsburgh Brewing Co.,1045422056,3.0,2.5,2.0,IrishRedRock,American Malt Liquor,2.5,3.5,Night Flight,,8592
433094,410,Pittsburgh Brewing Co.,1174573230,2.5,2.0,2.0,nlmartin,American Malt Liquor,2.0,2.0,The Wild Cat Malt Liquor,,34269
433095,410,Pittsburgh Brewing Co.,1165835420,3.0,2.0,2.0,WVbeergeek,American Malt Liquor,2.0,2.0,The Wild Cat Malt Liquor,,34269
433190,410,Pittsburgh Brewing Co.,1165835891,1.5,2.0,2.0,WVbeergeek,American Malt Liquor,1.5,1.0,Eagle Malt,,9212
433191,410,Pittsburgh Brewing Co.,1122733473,1.5,2.0,2.5,BuckeyeNation,American Malt Liquor,2.5,1.5,Eagle Malt,,9212
433192,410,Pittsburgh Brewing Co.,1049404577,3.0,2.0,2.0,poopstheclown,American Malt Liquor,2.5,2.0,Eagle Malt,,9212
436940,5470,Groupe Geloso,1265296894,1.0,1.0,2.0,Viggo,American Malt Liquor,1.5,1.0,Griffes Du Diable,16.5,55523
436960,5470,Groupe Geloso,1284070343,2.0,2.5,3.0,allergictomacros,American Malt Liquor,2.0,2.5,Griffes Du Diable,16.5,55523
436961,5470,Groupe Geloso,1265663339,1.5,1.5,2.0,Yoonisaykul,American Malt Liquor,2.5,2.5,Griffes Du Diable,16.5,55523
436962,5470,Groupe Geloso,1265530250,1.0,1.0,2.0,eat,American Malt Liquor,1.0,3.0,Griffes Du Diable,16.5,55523
436964,5470,Groupe Geloso,1265294565,1.0,1.0,3.0,bobsy,American Malt Liquor,1.0,1.0,Griffes Du Diable,16.5,55523
436965,5470,Groupe Geloso,1265226956,1.0,1.5,2.5,ritzkiss,American Malt Liquor,1.0,1.0,Griffes Du Diable,16.5,55523
436966,5470,Groupe Geloso,1263958300,1.0,1.0,2.5,Phyl21ca,American Malt Liquor,1.0,1.0,Griffes Du Diable,16.5,55523
442376,4043,Fort Garry Brewing Company Ltd.,1304132920,1.5,1.0,1.5,evlu1441,American Malt Liquor,1.5,2.0,Ridin' Dirty,6.2,65413
442377,4043,Fort Garry Brewing Company Ltd.,1300035763,2.5,3.0,3.0,BigBry,American Malt Liquor,2.5,3.0,Ridin' Dirty,6.2,65413
442378,4043,Fort Garry Brewing Company Ltd.,1298697325,3.0,2.5,3.0,scott451,American Malt Liquor,2.5,3.0,Ridin' Dirty,6.2,65413
442379,4043,Fort Garry Brewing Company Ltd.,1295742259,1.5,2.5,2.5,biboergosum,American Malt Liquor,1.5,2.0,Ridin' Dirty,6.2,65413
442380,4043,Fort Garry Brewing Company Ltd.,1295385536,2.5,3.5,3.0,woodychandler,American Malt Liquor,3.0,3.5,Ridin' Dirty,6.2,65413
456329,24964,Private Stock Brewing Co.,1320369071,1.0,2.0,4.0,mduncan,American Malt Liquor,1.0,1.0,Haffenreffer Private Stock,6.9,669
456330,24964,Private Stock Brewing Co.,1309983216,3.5,3.5,4.0,daliandragon,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456332,24964,Private Stock Brewing Co.,1302662515,3.0,2.5,2.5,TheManiacalOne,American Malt Liquor,3.0,2.5,Haffenreffer Private Stock,6.9,669
456333,24964,Private Stock Brewing Co.,1294770678,4.0,3.0,3.5,BeerAdvocate,American Malt Liquor,4.5,3.5,Haffenreffer Private Stock,6.9,669
456334,24964,Private Stock Brewing Co.,1291605996,3.0,3.0,3.0,Derranged,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456335,24964,Private Stock Brewing Co.,1291590250,1.5,2.0,2.0,Reagan1984,American Malt Liquor,2.0,1.0,Haffenreffer Private Stock,6.9,669
456336,24964,Private Stock Brewing Co.,1291587036,2.0,2.5,4.0,woodychandler,American Malt Liquor,2.5,2.5,Haffenreffer Private Stock,6.9,669
456337,24964,Private Stock Brewing Co.,1285724471,4.0,2.0,4.0,ShogoKawada,American Malt Liquor,3.5,4.0,Haffenreffer Private Stock,6.9,669
456338,24964,Private Stock Brewing Co.,1283881824,3.5,3.0,4.0,womencantsail,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456339,24964,Private Stock Brewing Co.,1249374124,3.5,3.0,4.0,RedChrome,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456340,24964,Private Stock Brewing Co.,1281663363,3.0,2.0,4.0,drabmuh,American Malt Liquor,3.5,3.5,Haffenreffer Private Stock,6.9,669
456341,24964,Private Stock Brewing Co.,1280612435,3.5,3.0,4.0,DrJay,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456342,24964,Private Stock Brewing Co.,1275772924,3.5,2.5,3.5,puboflyons,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456343,24964,Private Stock Brewing Co.,1266120614,3.5,3.5,3.0,Wetpaperbag,American Malt Liquor,3.0,2.5,Haffenreffer Private Stock,6.9,669
456344,24964,Private Stock Brewing Co.,1262254541,4.0,3.0,4.0,mtnbikerpa,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456345,24964,Private Stock Brewing Co.,1262036752,4.0,3.5,3.5,RonaldTheriot,American Malt Liquor,3.5,4.0,Haffenreffer Private Stock,6.9,669
456346,24964,Private Stock Brewing Co.,1259197368,2.5,2.0,3.0,jantonius,American Malt Liquor,2.0,3.0,Haffenreffer Private Stock,6.9,669
456347,24964,Private Stock Brewing Co.,1258676484,4.0,2.0,3.0,ShogoKawada,American Malt Liquor,3.5,3.5,Haffenreffer Private Stock,6.9,669
456348,24964,Private Stock Brewing Co.,1249518477,3.5,3.5,3.0,tone77,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456349,24964,Private Stock Brewing Co.,1248052104,3.0,4.0,3.0,botham,American Malt Liquor,4.0,3.0,Haffenreffer Private Stock,6.9,669
456350,24964,Private Stock Brewing Co.,1238032010,4.0,4.0,4.0,cheapxceptbeer,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456351,24964,Private Stock Brewing Co.,1233286735,4.0,3.5,3.0,DarkerTheBetter,American Malt Liquor,4.0,4.5,Haffenreffer Private Stock,6.9,669
456352,24964,Private Stock Brewing Co.,1233019394,4.0,3.0,3.5,thekevlarkid,American Malt Liquor,3.5,4.0,Haffenreffer Private Stock,6.9,669
456353,24964,Private Stock Brewing Co.,1231814570,3.5,3.0,3.0,MrHurmateeowish,American Malt Liquor,4.0,5.0,Haffenreffer Private Stock,6.9,669
456354,24964,Private Stock Brewing Co.,1228011220,4.0,3.0,3.0,nlmartin,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456355,24964,Private Stock Brewing Co.,1222113892,3.5,2.5,3.0,dmk139,American Malt Liquor,3.5,3.5,Haffenreffer Private Stock,6.9,669
456356,24964,Private Stock Brewing Co.,1219246409,3.0,3.0,3.5,BEERchitect,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456357,24964,Private Stock Brewing Co.,1218506312,3.0,3.0,2.5,mrhiccups,American Malt Liquor,3.0,2.5,Haffenreffer Private Stock,6.9,669
456358,24964,Private Stock Brewing Co.,1211758901,3.0,3.0,3.0,cvstrickland,American Malt Liquor,3.5,3.5,Haffenreffer Private Stock,6.9,669
456359,24964,Private Stock Brewing Co.,1207353252,5.0,2.5,3.0,FatSean,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456360,24964,Private Stock Brewing Co.,1206915846,3.0,2.5,3.5,Slatetank,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456361,24964,Private Stock Brewing Co.,1204324221,5.0,4.0,4.0,HopsTheBunny,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456362,24964,Private Stock Brewing Co.,1202065663,1.0,1.0,5.0,woodychandler,American Malt Liquor,1.0,1.0,Haffenreffer Private Stock,6.9,669
456363,24964,Private Stock Brewing Co.,1199137075,3.5,3.5,3.5,rrob311,American Malt Liquor,2.5,3.5,Haffenreffer Private Stock,6.9,669
456364,24964,Private Stock Brewing Co.,1192765018,5.0,3.0,3.0,VicVonFoam,American Malt Liquor,4.0,4.5,Haffenreffer Private Stock,6.9,669
456365,24964,Private Stock Brewing Co.,1188783110,4.5,3.5,3.5,aforbes10,American Malt Liquor,4.0,4.5,Haffenreffer Private Stock,6.9,669
456366,24964,Private Stock Brewing Co.,1188430273,4.5,5.0,4.0,irishguy53,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456367,24964,Private Stock Brewing Co.,1187489228,3.5,3.5,3.5,Brad007,American Malt Liquor,3.5,3.5,Haffenreffer Private Stock,6.9,669
456368,24964,Private Stock Brewing Co.,1184086441,4.0,3.0,3.0,matty,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456370,24964,Private Stock Brewing Co.,1179195546,4.0,3.0,3.5,FarBeyondDriven,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
456371,24964,Private Stock Brewing Co.,1169388513,2.5,2.5,2.5,BuckeyeNation,American Malt Liquor,2.5,2.5,Haffenreffer Private Stock,6.9,669
456372,24964,Private Stock Brewing Co.,1169164898,3.0,2.0,2.0,Manosbeeroffate,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456373,24964,Private Stock Brewing Co.,1155312512,4.5,2.0,1.5,mrasskicktastic,American Malt Liquor,4.0,2.0,Haffenreffer Private Stock,6.9,669
456374,24964,Private Stock Brewing Co.,1152832710,3.5,2.5,2.5,Hibernator,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456375,24964,Private Stock Brewing Co.,1146428035,3.0,2.5,3.0,mooseisloose,American Malt Liquor,2.5,2.5,Haffenreffer Private Stock,6.9,669
456376,24964,Private Stock Brewing Co.,1145233959,2.5,2.5,2.5,Drew966,American Malt Liquor,3.0,2.5,Haffenreffer Private Stock,6.9,669
456377,24964,Private Stock Brewing Co.,1141798861,2.0,3.0,4.5,HardTarget,American Malt Liquor,2.5,3.0,Haffenreffer Private Stock,6.9,669
456379,24964,Private Stock Brewing Co.,1136191683,4.0,3.0,3.0,Phatz,American Malt Liquor,3.0,4.0,Haffenreffer Private Stock,6.9,669
456380,24964,Private Stock Brewing Co.,1131412487,3.0,2.5,2.0,chOAKbarrell,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456381,24964,Private Stock Brewing Co.,1126573710,3.0,3.0,2.0,steinlifter,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456382,24964,Private Stock Brewing Co.,1125501029,1.5,1.5,2.0,TastyTaste,American Malt Liquor,2.0,2.0,Haffenreffer Private Stock,6.9,669
456383,24964,Private Stock Brewing Co.,1111168894,3.0,2.5,2.0,TheDeuce,American Malt Liquor,3.0,2.5,Haffenreffer Private Stock,6.9,669
456384,24964,Private Stock Brewing Co.,1109828894,4.0,2.0,2.0,baldmasterflex,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456385,24964,Private Stock Brewing Co.,1107828135,5.0,3.0,5.0,sourpuss,American Malt Liquor,2.0,4.0,Haffenreffer Private Stock,6.9,669
456387,24964,Private Stock Brewing Co.,1095133132,4.0,3.0,3.0,fdrich29,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456388,24964,Private Stock Brewing Co.,1088120986,4.5,3.5,3.0,ramrod666,American Malt Liquor,3.0,3.5,Haffenreffer Private Stock,6.9,669
456389,24964,Private Stock Brewing Co.,1071333583,5.0,3.0,4.0,JISurfer,American Malt Liquor,3.5,4.0,Haffenreffer Private Stock,6.9,669
456390,24964,Private Stock Brewing Co.,1070758402,4.0,3.5,2.5,IrishRedRock,American Malt Liquor,4.0,3.5,Haffenreffer Private Stock,6.9,669
456391,24964,Private Stock Brewing Co.,1063635110,1.0,2.5,2.0,chaduvel,American Malt Liquor,2.0,1.0,Haffenreffer Private Stock,6.9,669
456392,24964,Private Stock Brewing Co.,1060384771,3.5,3.5,4.0,NeroFiddled,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456393,24964,Private Stock Brewing Co.,1048359297,2.5,2.5,2.5,BeerResearcher,American Malt Liquor,2.0,3.5,Haffenreffer Private Stock,6.9,669
456395,24964,Private Stock Brewing Co.,1043157618,2.0,2.0,2.0,feloniousmonk,American Malt Liquor,1.5,1.5,Haffenreffer Private Stock,6.9,669
456396,24964,Private Stock Brewing Co.,1039879089,4.0,3.0,3.5,Pegasus,American Malt Liquor,3.5,4.0,Haffenreffer Private Stock,6.9,669
456397,24964,Private Stock Brewing Co.,1033115090,2.5,2.0,2.0,bewareOFpenguin,American Malt Liquor,2.0,1.5,Haffenreffer Private Stock,6.9,669
456398,24964,Private Stock Brewing Co.,1027767242,3.5,3.5,3.0,Jason,American Malt Liquor,4.0,3.5,Haffenreffer Private Stock,6.9,669
456399,24964,Private Stock Brewing Co.,1013611931,3.5,2.0,3.0,fdoosey,American Malt Liquor,3.0,3.0,Haffenreffer Private Stock,6.9,669
456400,24964,Private Stock Brewing Co.,974677547,4.0,3.0,4.0,Todd,American Malt Liquor,4.0,4.0,Haffenreffer Private Stock,6.9,669
457545,632,Triple Rock Brewery & Alehouse,1293495257,2.0,2.5,3.5,womencantsail,American Malt Liquor,3.5,3.0,Titanium,7.4,4348
457546,632,Triple Rock Brewery & Alehouse,1236323780,3.0,3.5,3.0,Floydster,American Malt Liquor,3.5,3.0,Titanium,7.4,4348
457547,632,Triple Rock Brewery & Alehouse,1225526038,4.5,2.5,3.0,lhaqq,American Malt Liquor,3.0,3.5,Titanium,7.4,4348
457548,632,Triple Rock Brewery & Alehouse,1024157001,4.0,3.0,3.5,Tim,American Malt Liquor,3.5,3.0,Titanium,7.4,4348
491417,132,Rogue Ales,1266632965,3.5,3.5,3.5,BierFan,American Malt Liquor,4.0,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503813,132,Rogue Ales,1227527361,3.5,3.0,3.0,brendan13,American Malt Liquor,3.5,3.0,Dad's Little Helper Malt Liquor,7.2,30424
503821,132,Rogue Ales,1237587696,3.0,4.0,4.0,scuppers,American Malt Liquor,4.0,3.0,Dad's Little Helper Malt Liquor,7.2,30424
503822,132,Rogue Ales,1236472388,4.0,3.5,4.0,Fatduck,American Malt Liquor,3.5,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503823,132,Rogue Ales,1233977257,3.0,3.0,3.5,Shadman,American Malt Liquor,3.5,4.0,Dad's Little Helper Malt Liquor,7.2,30424
503824,132,Rogue Ales,1233537943,3.5,3.5,3.0,tzieser,American Malt Liquor,3.0,4.0,Dad's Little Helper Malt Liquor,7.2,30424
503825,132,Rogue Ales,1233460700,3.5,3.0,3.0,csmiley,American Malt Liquor,3.5,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503826,132,Rogue Ales,1232903729,4.0,3.5,4.0,tmoneyba,American Malt Liquor,3.5,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503827,132,Rogue Ales,1232428887,2.5,3.5,5.0,jujubeast6000,American Malt Liquor,2.0,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503828,132,Rogue Ales,1228369417,4.5,4.0,4.0,hellbilly,American Malt Liquor,4.0,4.0,Dad's Little Helper Malt Liquor,7.2,30424
503829,132,Rogue Ales,1228015450,2.0,2.5,4.0,vacax,American Malt Liquor,3.5,3.5,Dad's Little Helper Malt Liquor,7.2,30424
503830,132,Rogue Ales,1227547393,3.5,2.0,3.5,CrellMoset,American Malt Liquor,4.0,4.0,Dad's Little Helper Malt Liquor,7.2,30424
503831,132,Rogue Ales,1227539235,5.0,4.0,4.5,socrates00,American Malt Liquor,4.5,5.0,Dad's Little Helper Malt Liquor,7.2,30424
